id;fecha;lote;acidez;temperatura;agua;crioscopia;antibiotico;delvo;grasa;solidos;densidad;lactosa;proteina;neutralizantes;adulterantes;reductasa;fosfatasa;ph;dummy_1;dummy_2;dummy_3;dummy_4;dummy_5;observaciones;area_id;recepcion_id;analista_id;proveedor_id
1;2020-09-22T00:05:39;virtual Progressive;78886;43499;68770;75286;9232;46866;28586;Car;63104;89032;22171;66829;76785;33440;7229;23004;65337;92355;11797;45615;13826;AGP Jewelery Principal;1;1;1;1
2;2020-09-21T20:33:19;optimize Centers;72250;38143;50701;61437;88875;81115;35035;Granite transmitter redefine;35566;97726;74957;70379;62622;60954;25056;60374;81418;5929;46024;77078;44751;Assurance Optimization;2;2;2;2
3;2020-09-22T01:34:12;Belgium;66207;25776;25588;83306;45824;23323;62100;wireless transmitting;95178;85001;13798;34524;16958;3042;78644;16225;15024;85283;31693;63;59321;Home productivity Configuration;3;3;3;3
4;2020-09-21T22:09:29;Usability Fantastic;82285;36656;35148;35467;76902;20914;81639;Designer;2116;41070;69858;62667;68940;19203;77574;36904;66190;63621;13231;62361;99549;Investment Account Shores;4;4;4;4
5;2020-09-22T11:29:16;Chilean Peso Unidades de fomento;91659;50395;37062;10147;66824;42476;10099;parsing;34344;58109;28858;43772;43219;1395;38538;52731;33731;60429;31094;61471;96803;Small River Western Sahara;5;5;4;4
6;2020-09-22T01:26:17;connect platforms application;47443;52503;92505;25964;27790;35401;50425;red program Ergonomic;55163;87282;76251;56081;54089;45444;9179;40794;72758;16275;20618;80581;53634;Burgs Markets Savings Account;6;6;4;4
7;2020-09-21T23:14:35;task-force Avon;38226;69179;73726;68155;11376;14580;85456;Barbados Executive;38457;83669;38584;68556;4125;339;81884;27858;71842;77371;39450;83889;92741;optimal olive;7;7;4;4
8;2020-09-21T17:47:37;Awesome Plastic Shoes microchip;52842;18127;86807;41659;93654;95743;99321;Chief Wooden;16572;18194;77266;44552;61285;70263;42594;28853;23197;20691;31367;17986;46313;Tuna Street payment;8;8;4;4
9;2020-09-22T12:01:26;Handmade;66166;95425;16439;72105;83461;21244;56840;Nauru;92667;69410;19798;57736;17270;92347;8641;84544;41854;45235;95260;99457;37587;blue Planner users;9;9;4;4
10;2020-09-21T22:43:57;back-end transmitting Home Loan Account;31543;66201;81012;4497;42916;34776;2834;Synchronised Functionality;99886;90284;69645;90107;2471;89667;32976;699;38430;58949;20610;39023;11726;overriding maroon;10;10;4;4
