id;fecha;lote;ph;humedad;dummy_1;dummy_2;dummy_3;dummy_4;dummy_5;observaciones;area_id;producto_id;analista_id;proveedor_id
1;2020-09-22T05:28:15;XSS;45700;96414;82724;50849;30921;85115;8493;purple District;1;1;1;1
2;2020-09-21T22:37:35;Borders Junctions;43788;37676;30149;5524;40775;10885;46133;Coordinator Central hardware;2;2;2;2
3;2020-09-21T16:54:21;Cameroon maximize;79310;84216;19411;44751;45573;67289;4091;primary Romania;3;3;3;3
4;2020-09-22T08:07:55;Guyana Dollar;44622;66772;61317;43623;44058;73195;40325;Platinum facilitate payment;4;4;4;4
5;2020-09-21T23:03:03;Burundi Franc;17976;48962;78822;99622;86432;52700;43948;Global efficient Visionary;5;5;4;4
6;2020-09-21T13:58:18;Rufiyaa Human pink;84375;55638;21645;3853;14053;64208;14256;connect synthesize;6;6;4;4
7;2020-09-22T04:28:49;card;25213;86390;68844;3705;23629;73619;94144;1080p Practical haptic;7;7;4;4
8;2020-09-21T14:12:47;synthesize Avon Bermudian Dollar (customarily;67786;94613;34932;27351;81804;78650;73567;Awesome needs-based;8;8;4;4
9;2020-09-22T11:23:30;scalable;77236;94807;21219;90362;73709;71692;12750;Ramp reinvent;9;9;4;4
10;2020-09-22T09:47:29;sky blue;99443;659;20711;66835;97878;63640;17684;quantifying initiative;10;10;4;4
