id;fecha;lote;humedad;ph;fundicion;presentacion;caducidad;apariencia;sabor;color;olor;textura;hilado;dummy_1;dummy_2;dummy_3;dummy_4;dummy_5;observaciones;area_id;producto_id;analista_id;proveedor_id
1;2020-09-22T02:55:07;disintermediate Tenge;20115;24132;82496;46547;2020-09-22T03:16:22;1958;72360;61127;17410;57013;69750;32118;74047;77064;15064;58168;National redundant Checking Account;1;1;1;1
2;2020-09-22T05:22:14;Quality;1683;642;56255;13151;2020-09-22T05:10:36;43;8961;3919;35170;12480;61202;97473;87515;94894;41755;28417;Security Garden bluetooth;2;2;2;2
3;2020-09-22T05:36:05;Maine synthesizing;25738;98643;11360;66505;2020-09-21T23:49:03;82844;49804;81478;82277;83110;82970;76254;56018;57273;34536;84327;Falkland Islands (Malvinas) Markets Pataca;3;3;3;3
4;2020-09-21T19:09:06;Fresh Nauru;95727;57901;83108;63951;2020-09-22T00:01:52;93656;86994;57278;38405;86776;22738;34533;5925;5440;80868;30854;invoice virtual;4;4;4;4
5;2020-09-22T05:16:29;global white;54933;12574;42506;73941;2020-09-22T10:23:37;45973;93335;51614;79993;76910;46171;42314;68351;67228;57294;56939;Awesome revolutionary Alaska;5;5;4;4
6;2020-09-22T04:13:32;Falkland Islands Pound Chair protocol;67541;75685;85363;77085;2020-09-22T11:41:34;94929;65472;2259;42383;13670;92888;57243;6391;17034;29051;7345;Turkish Lira withdrawal Auto Loan Account;6;6;4;4
7;2020-09-22T06:21:28;Gibraltar Macao reboot;19986;42578;74493;32899;2020-09-22T11:48:08;61783;44056;58368;42916;36693;46903;36985;46659;57214;98111;68641;success client-server copy;7;7;4;4
8;2020-09-22T13:03:22;vertical;81770;74690;1739;57741;2020-09-22T08:59:29;51965;29370;64410;77288;17112;62137;82992;50663;66899;75357;82648;navigating optical;8;8;4;4
9;2020-09-22T07:16:14;infomediaries Personal Loan Account distribut;12982;92909;77949;87956;2020-09-21T15:01:12;52480;84572;86753;85936;25826;50623;15784;66368;55419;32652;89914;Clothing Square Agent;9;9;4;4
10;2020-09-22T12:41:23;Intelligent;87212;31732;25650;44430;2020-09-21T16:46:14;3649;70208;34776;68438;7789;68295;7346;63037;66019;9881;2838;payment;10;10;4;4
