id;fecha;lote;acidez;temperatura;delvo;solidos;neutralizantes;ph;cloro;almidon;dummy_1;dummy_2;dummy_3;dummy_4;dummy_5;observaciones;area_id;producto_id;analista_id;proveedor_id
1;2020-09-21T14:53:24;New Hampshire teal;22719;97916;75790;4675;59991;87392;8007;45440;7458;65345;18101;31664;20266;Avon;1;1;1;1
2;2020-09-22T03:56:02;Checking Account Soft;26467;22304;59117;54561;78604;8163;93174;40843;94218;819;32271;65334;93260;Bedfordshire back-end optical;2;2;2;2
3;2020-09-22T03:06:54;Buckinghamshire;18627;24571;90377;12645;4367;25999;29967;36483;99594;21943;83316;5932;80558;firmware Haiti Officer;3;3;3;3
4;2020-09-22T03:49:40;Pizza Networked New York;74509;81466;87495;42616;68307;5656;36171;88375;95958;6471;5763;69137;52250;Home Loan Account Canyon;4;4;4;4
5;2020-09-21T18:44:05;Alabama Specialist Berkshire;64297;53004;81581;49076;71413;79800;3542;11197;28169;44112;55691;67678;93883;Small;5;5;4;4
6;2020-09-22T02:30:09;violet red Indonesia;42712;9412;66772;45561;5795;79979;19442;27380;78394;24945;37687;50948;4823;COM Industrial Metal;6;6;4;4
7;2020-09-22T12:22:17;THX orange Implementation;84235;13197;18761;51931;47771;78839;26659;85618;93969;16631;1006;60254;21359;Tools Savings Account;7;7;4;4
8;2020-09-21T16:41:28;Virginia deposit;67447;25541;14370;43669;57086;9952;18039;40637;28805;65922;30671;43391;77469;Auto Loan Account North Korean Won Tuna;8;8;4;4
9;2020-09-22T11:39:23;Brand;49059;71257;93739;39733;64402;86455;23728;48459;46161;29934;54122;74166;63906;Beauty black Plastic;9;9;4;4
10;2020-09-21T16:57:47;Intranet;24510;93015;48673;10380;63580;85573;62988;87147;6315;42789;92760;80362;77996;Illinois;10;10;4;4
