id;producto;clave;serie_ean;tipo_id
1;budgetary management;cyan ivory;concept Motorway circuit;1
2;bypassing;online;Facilitator Rubber;2
3;Fresh;systemic Practical orchid;frictionless;3
4;Buckinghamshire Future Lithuanian Litas;Bermuda;Shoes XSS;4
5;virtual Small repurpose;Gibraltar Hat;Cape Verde Berkshire;5
6;synthesize calculating;Soft;Won;6
7;multi-tasking;grey SSL;Iowa application;7
8;synthesizing Sleek Plastic Computer;innovative parse;heuristic Investor B2B;8
9;PCI Ukraine;product;dynamic Cheese;9
10;Licensed;Tunisian Dinar solid state Benin;Analyst circuit synergies;10
