id;tipode_muestra;lote;inicio;fin;resultado;unidades;observaciones;area_id;analista_id;proveedor_id
1;1;collaboration;2020-09-22T00:18:58;2020-09-21T20:25:06;90904;6579;bypassing auxiliary;1;1;5
2;2;Small;2020-09-22T11:23:41;2020-09-22T02:35:06;74288;80907;zero tolerance Borders Savings Account;2;2;6
3;1;next-generation;2020-09-22T04:28:54;2020-09-22T09:30:28;35858;27567;maximize copying;3;3;7
4;1;Kenya;2020-09-22T01:50:37;2020-09-21T23:26:32;17383;85306;virtual alarm;4;4;8
5;1;Jewelery primary;2020-09-21T18:11:19;2020-09-21T13:49:57;12220;92573;auxiliary strategize magenta;5;4;8
6;1;Computers Versatile;2020-09-21T22:56:32;2020-09-21T16:45:44;64020;98536;Spur Corporate Ohio;6;4;9
7;2;Home Ergonomic Metal Chair AGP;2020-09-22T12:30:16;2020-09-21T14:54:26;5253;28447;Cambridgeshire panel;7;4;6
8;2;Connecticut;2020-09-22T10:06:01;2020-09-21T16:49:44;71584;71514;Checking Account Investor;8;4;5
9;2;capacity Principal USB;2020-09-22T00:07:58;2020-09-21T14:07:36;66663;89618;Rustic Plastic Bike;9;4;5
10;2;North Carolina;2020-09-22T11:05:39;2020-09-21T14:11:21;43050;62927;wireless Virtual yellow;10;4;9
