id;litros;tiempo;turno;incentivo_lt;incentivo_t;tipo_leche;flete;proveedor_id
1;25110;2020-09-21T16:48:04;M;98682;85641;magenta intuitive;SAS;1
2;61932;2020-09-21T17:43:48;w;8156;90098;Intelligent Wooden Pants;microchip Intelligent;2
3;87356;2020-09-21T18:45:55;i;34667;73602;modular withdrawal transform;programming interfaces Granite;3
4;5892;2020-09-22T11:54:42;M;3270;5396;Switchable;vortals reboot invoice;4
5;24882;2020-09-22T06:42:13;G;72536;28693;Utah Forge Industrial;Luxembourg Avon;5
6;8101;2020-09-22T05:53:04;D;99707;48700;Rustic Metal Towels New Hampshire Response;standardization Fully-configurable;6
7;9478;2020-09-21T17:36:11;Y;61426;99331;SCSI Personal Loan Account;Balboa US Dollar Incredible;7
8;22794;2020-09-21T16:39:37;T;53420;21396;back up leverage;calculating;8
9;14235;2020-09-22T10:34:24;I;43799;25325;back up;process improvement Investment Account;9
10;94602;2020-09-22T06:28:18;i;51739;16571;expedite SMS methodologies;24/7 Supervisor;10
