id;superficie;descripcion
1;Missouri info-mediaries;Licensed implement cutting-edge
2;Spain Sleek Metal Chair;Republic of Korea value-added
3;Electronics Factors Palau;override Bedfordshire RSS
4;Plains;override Small Holy See (Vatican City State)
5;Planner;24/365 application International
6;human-resource Awesome;Camp
7;database Auto Loan Account Gorgeous;Executive customized mint green
8;Gorgeous Rubber Chips microchip Ameliorated;neural Licensed Plastic Ball
9;web-readiness channels;Tunnel IB microchip
10;quantify;action-items connecting Small Frozen Sausages
